Date,close,MSI,MACD,OSC
2020-04-23,"7,507.54",-20.30913796,8.29418001,-1.215952001
2020-04-24,"7,510.88",-17.89237097,7.084889563,2.416766992
2020-04-25,"7,548.32",-11.68171308,6.249490829,6.210657895
2020-04-26,"7,703.13",-3.858331749,6.01919398,7.823381329
2020-04-27,"7,790.81",5.504811208,6.394254572,9.363142957
2020-04-28,"7,761.97",12.33763464,7.362153852,6.832823435
2020-04-29,"8,788.73",21.17287077,8.581648846,8.835236126
2020-04-30,"8,627.93",33.37599357,10.14410223,12.2031228
2020-05-01,"8,827.04",39.29764385,12.22611281,5.921650286
2020-05-02,"8,982.37",48.31902689,14.19037111,9.021383038
2020-05-03,"8,908.39",57.74557452,16.28726078,9.426547626
2020-05-04,"8,884.48",61.27140513,18.49648856,3.52583061
2020-05-05,"9,028.66",63.43449354,20.29784167,2.163088409
2020-05-06,"9,157.70",62.72162192,21.65039783,-0.7128716156
2020-05-07,"10,002.45",61.65336884,22.4064974,-1.068253078
2020-05-08,"9,806.61",63.28660588,22.65832163,1.633237037
2020-05-09,"9,541.09",64.92145078,22.72769205,1.6348449
2020-05-10,"8,726.06",62.64949618,22.65345202,-2.271954602
2020-05-11,"8,571.67",55.34858777,22.15588922,-7.300908403
2020-05-12,"8,823.31",45.78442841,20.9311634,-9.564159361
2020-05-13,"9,316.36",41.73301028,18.97013572,-4.051418133
2020-05-14,"9,790.24",41.01524299,16.89434409,-0.7177672923
2020-05-15,"9,311.14",41.351336,15.01822569,0.3360930128
2020-05-16,"9,387.12",38.58679911,13.40399532,-2.764536891
2020-05-17,"9,670.71",36.98504633,11.76599998,-1.601752775
2020-05-18,"9,726.32",37.58548274,10.22080967,0.6004364084
2020-05-19,"9,782.04",40.26578872,8.941612087,2.680305978
2020-05-20,"9,512.66",41.01098165,8.051306624,0.7451929303
2020-05-21,"9,059.71",39.29792696,7.321466662,-1.71305469
2020-05-22,"9,168.70",33.59163583,6.529565273,-5.706291132
2020-05-23,"9,179.71",32.79965899,5.379516,-0.7919768345
2020-05-24,"8,716.09",31.51338077,4.35399758,-1.286278226
2020-05-25,"8,898.92",25.51090624,3.398301437,-6.002474524
2020-05-26,"8,842.33",24.30609626,2.131979695,-1.204809987
2020-05-27,"9,210.61",21.3093135,1.019441012,-2.996782757
2020-05-28,"9,556.08",21.69537794,-0.1028832589,0.3860644377
2020-05-29,"9,424.54",24.7718464,-0.9502275242,3.076468467
2020-05-30,"9,701.15",26.23322797,-1.357856145,1.46138157
2020-05-31,"9,448.95",31.50640334,-1.545171706,5.273175365
2020-06-01,"10,206.93",31.11229652,-1.253667952,-0.3941068168
2020-06-02,"9,523.35",34.97463397,-1.042433727,3.862337452
2020-06-03,"9,666.65",33.45691959,-0.5569505481,-1.517714386
2020-06-04,"9,791.94",35.34684945,-0.2913104527,1.889929865
2020-06-05,"9,618.70",38.8408655,0.07089554234,3.49401605
2020-06-06,"9,671.78",40.18890516,0.6325921687,1.348039658
2020-06-07,"9,752.59",40.8953948,1.172994773,0.7064896442
2020-06-08,"9,782.51",41.24982674,1.639377813,0.3544319344
2020-06-09,"9,780.19",41.50147717,2.014369035,0.2516504329
2020-06-10,"9,893.44",43.56399117,2.305284482,2.062513997
2020-06-11,"9,266.27",46.46448094,2.671469673,2.900489774
2020-06-12,"9,464.24",43.46693756,3.159300905,-2.997543385
2020-06-13,"9,474.35",45.04156354,3.266381163,1.574625981
2020-06-14,"9,329.70",48.1175212,3.438663424,3.075957658
2020-06-15,"9,430.55",46.56173765,3.779830896,-1.555783545
2020-06-16,"9,527.86",42.35359429,3.879944263,-4.208143357
2020-06-17,"9,456.34",40.89872402,3.578472425,-1.454870279
2020-06-18,"9,376.19",39.30517657,3.1854382,-1.593547446
2020-06-19,"9,301.53",35.50102788,2.714083519,-3.804148686
2020-06-20,"9,357.66",28.32583588,2.010393961,-7.175192004
2020-06-21,"9,285.97",23.9042778,0.8637797726,-4.42155808
2020-06-22,"9,688.89",19.15918452,-0.3971252052,-4.745093285
2020-06-23,"9,622.51",18.3611941,-1.759014037,-0.7979904183
2020-06-24,"9,287.61",18.54196658,-2.869632568,0.1807724846
2020-06-25,"9,238.85",13.95867749,-3.692652329,-4.583289096
2020-06-26,"9,154.74",6.425032184,-4.661005377,-7.533645302
2020-06-27,"9,004.28",-3.093499447,-5.967544223,-9.518531631
2020-06-28,"9,116.24",-14.16151623,-7.682492632,-11.06801678
2020-06-29,"9,186.57",-20.29900274,-9.821482125,-6.137486507
2020-06-30,"9,134.02",-23.19019843,-11.87500293,-2.891195687
2020-07-01,"9,236.39",-28.39135948,-13.57919578,-5.201161058
2020-07-02,"9,093.30",-29.94153513,-15.17454838,-1.550175644
2020-07-03,"9,064.36",-32.16236737,-16.37519991,-2.220832238
2020-07-04,"9,140.57",-36.04550683,-17.30642975,-3.883139464
2020-07-05,"9,078.89",-36.13050327,-18.14856762,-0.08499644462
2020-07-06,"9,347.49",-39.96766246,-18.60832131,-3.837159181
2020-07-07,"9,256.95",-38.99373498,-19.06256471,0.9739274751
2020-07-08,"9,439.26",-37.61119805,-19.123524,1.382536929
2020-07-09,"9,237.50",-32.88621272,-18.84306438,4.724985327
2020-07-10,"9,288.23",-30.32705894,-18.03167337,2.559153781
2020-07-11,"9,237.31",-30.5324869,-16.98632999,-0.2054279599
2020-07-12,"9,302.39",-28.20060511,-15.99013978,2.331881791
2020-07-13,"9,236.43",-27.01098289,-14.84140599,1.18962222
2020-07-14,"9,254.75",-27.20394072,-13.67736942,-0.1929578248
2020-07-15,"9,192.06",-27.07803969,-12.62490014,0.125901026
2020-07-16,"9,131.84",-27.78014385,-11.64639906,-0.7021041616
2020-07-17,"9,154.58",-31.08668193,-10.80305297,-3.306538076
2020-07-18,"9,176.77",-32.70347831,-10.28296943,-1.616796383
2020-07-19,"9,213.99",-32.66746157,-9.887286953,0.03601674686
2020-07-20,"9,163.50",-32.91846968,-9.461730545,-0.2510081109
2020-07-21,"9,393.93",-34.913629,-9.040514855,-1.995159324
2020-07-22,"9,536.01",-33.69006181,-8.76663476,1.223567186
2020-07-23,"9,615.29",-29.2206013,-8.35454517,4.469460516
2020-07-24,"9,551.66",-25.99824929,-7.579936303,3.22235201
2020-07-25,"9,712.85",-26.05828681,-6.629614251,-0.06003752233
2020-07-26,"9,942.85",-23.9244672,-5.814298096,2.133819615
2020-07-27,"11,046.51",-23.42556883,-4.939038597,0.4988983696
2020-07-28,"10,936.35",-23.12702261,-4.157210474,0.2985462128
2020-07-29,"11,111.10",-21.60127023,-3.473475803,1.525752388
2020-07-30,"11,128.72",-20.83388532,-2.776490034,0.7673849053
2020-07-31,"11,354.08",-19.11874154,-2.137561761,1.715143783
2020-08-01,"11,812.85",-16.60183963,-1.475796667,2.516901905
2020-08-02,"11,066.14",-11.41201904,-0.7397230468,5.18982059
2020-08-03,"11,236.74",-10.56280208,0.2594054842,0.849216962
2020-08-04,"11,196.04",-6.429047305,1.106986108,4.133754776
2020-08-05,"11,755.66",-2.407681473,2.088187991,4.021365832
2020-08-06,"11,773.82",3.497484984,3.153931607,5.905166457
2020-08-07,"11,606.64",9.483775142,4.42404109,5.986290158
2020-08-08,"11,775.35",12.30949461,5.846263506,2.825719472
2020-08-09,"11,687.82",17.81879755,7.119329762,5.509302938
2020-08-10,"11,900.03",22.39501784,8.475102934,4.576220287
2020-08-11,"11,390.43",29.05057136,9.805790622,6.655553519
2020-08-12,"11,570.85",30.45067702,11.26753265,1.400105665
2020-08-13,"11,795.95",36.55037424,12.39605653,6.099697221
