Date,close,Index (MSI),MACD
27-10-2018,"6,409.30",-47.81,15.46
28-10-2018,"6,405.52",-50.93,14.93
29-10-2018,"6,265.62",-50.19,14.10
30-10-2018,"6,270.63",-54.25,13.35
31-10-2018,"6,305.13",-56.39,12.28
1-11-2018,"6,342.30",-58.49,11.13
2-11-2018,"6,349.35",-56.83,9.94
3-11-2018,"6,332.71",-54.68,9.02
4-11-2018,"6,422.51",-54.61,8.38
5-11-2018,"6,404.12",-54.32,7.78
6-11-2018,"6,448.93",-54.65,7.24
7-11-2018,"6,502.23",-51.10,6.72
8-11-2018,"6,406.60",-47.66,6.51
9-11-2018,"6,332.57",-48.42,6.55
10-11-2018,"6,348.99",-52.28,6.44
11-11-2018,"6,358.58",-52.66,5.98
12-11-2018,"6,324.86",-55.76,5.52
13-11-2018,"6,259.63",-60.28,4.85
14-11-2018,"5,602.16",-67.79,3.90
15-11-2018,"5,576.96",-79.82,2.52
16-11-2018,"5,512.78",-92.65,0.45
17-11-2018,"5,502.62",-106.30,-2.20
18-11-2018,"5,560.15",-119.89,-5.34
19-11-2018,"4,735.99",-127.25,-8.83
20-11-2018,"4,354.46",-139.05,-12.04
21-11-2018,"4,544.50",-153.79,-15.37
22-11-2018,"4,266.62",-160.47,-18.97
23-11-2018,"4,286.68",-169.93,-22.11
24-11-2018,"3,782.66",-181.01,-25.08
25-11-2018,"3,935.51",-195.02,-27.99
26-11-2018,"3,729.05",-203.07,-31.08
27-11-2018,"3,772.04",-213.88,-33.79
28-11-2018,"4,222.17",-219.00,-36.38
29-11-2018,"4,245.06",-216.73,-38.41
30-11-2018,"3,971.62",-214.15,-39.38
1-12-2018,"4,140.60",-216.32,-39.49
2-12-2018,"4,102.10",-212.04,-39.30
3-12-2018,"3,833.88",-211.76,-38.35
4-12-2018,"3,903.50",-216.21,-37.16
5-12-2018,"3,694.33",-216.48,-36.15
6-12-2018,"3,435.64",-221.27,-34.97
7-12-2018,"3,379.46",-229.81,-34.03
8-12-2018,"3,397.80",-239.40,-33.59
9-12-2018,"3,532.52",-246.45,-33.62
10-12-2018,"3,409.44",-246.39,-33.83
11-12-2018,"3,349.50",-250.06,-33.60
12-12-2018,"3,431.88",-255.48,-33.33
13-12-2018,"3,263.29",-256.49,-33.18
14-12-2018,"3,195.45",-261.62,-32.75
15-12-2018,"3,181.68",-268.94,-32.46
16-12-2018,"3,192.87",-275.39,-32.44
17-12-2018,"3,499.60",-276.48,-32.58
18-12-2018,"3,667.96",-270.28,-32.39
19-12-2018,"3,683.65",-259.26,-31.39
20-12-2018,"4,075.20",-245.60,-29.36
21-12-2018,"3,839.43",-227.63,-26.35
22-12-2018,"3,980.50",-215.68,-22.26
23-12-2018,"3,944.39",-199.82,-17.85
24-12-2018,"4,034.35",-181.71,-12.92
25-12-2018,"3,779.12",-164.56,-7.47
26-12-2018,"3,809.24",-154.72,-1.75
27-12-2018,"3,589.71",-144.58,3.54
28-12-2018,"3,888.18",-140.63,8.46
29-12-2018,"3,727.34",-131.80,12.52
30-12-2018,"3,831.04",-126.83,16.27
31-12-2018,"3,692.35",-123.40,19.42
1-1-2019,"3,823.32",-124.49,21.94
2-1-2019,"3,888.33",-120.75,23.58
